Date,Ticker,Cumulative_Return,Sector,Company Name,Benchmark (KLCI),ESG Group (F4GBM),Volatility_Risk
2021-06-14,0097.KL,0.04827592520987656,,ViTrox,No,Yes,0.4320545161161123
2021-06-15,0097.KL,0.03448276553392815,,ViTrox,No,Yes,0.4320545161161123
2021-06-16,0097.KL,0.03862082036146708,,ViTrox,No,Yes,0.4320545161161123
2021-06-17,0097.KL,0.02344846500827269,,ViTrox,No,Yes,0.4320545161161123
2021-06-18,0097.KL,0.0,,ViTrox,No,Yes,0.4320545161161123
2021-06-21,0097.KL,0.01931041018073354,,ViTrox,No,Yes,0.4320545161161123
2021-06-22,0097.KL,0.022069002019140305,,ViTrox,No,Yes,0.4320545161161123
2021-06-23,0097.KL,0.02482766068551867,,ViTrox,No,Yes,0.4320545161161123
2021-06-24,0097.KL,0.03448276553392815,,ViTrox,No,Yes,0.4320545161161123
2021-06-25,0097.KL,0.031724240523492986,,ViTrox,No,Yes,0.4320545161161123
2021-06-28,0097.KL,0.031724240523492986,,ViTrox,No,Yes,0.4320545161161123
2021-06-29,0097.KL,0.022039063087877286,,ViTrox,No,Yes,0.4320545161161123
2021-06-30,0097.KL,0.010989926752533519,,ViTrox,No,Yes,0.4320545161161123
2021-07-01,0097.KL,0.022039063087877286,,ViTrox,No,Yes,0.4320545161161123
2021-07-02,0097.KL,0.03308806576727785,,ViTrox,No,Yes,0.4320545161161123
2021-07-05,0097.KL,0.049661670028336324,,ViTrox,No,Yes,0.4320545161161123
2021-07-06,0097.KL,0.03308806576727785,,ViTrox,No,Yes,0.4320545161161123
2021-07-07,0097.KL,0.052423937405179366,,ViTrox,No,Yes,0.4320545161161123
2021-07-08,0097.KL,0.04413713527465024,,ViTrox,No,Yes,0.4320545161161123
2021-07-09,0097.KL,0.06899747483826624,,ViTrox,No,Yes,0.4320545161161123
2021-07-12,0097.KL,0.06899747483826624,,ViTrox,No,Yes,0.4320545161161123
2021-07-13,0097.KL,0.07728441062473856,,ViTrox,No,Yes,0.4320545161161123
2021-07-14,0097.KL,0.10214475018835456,,ViTrox,No,Yes,0.4320545161161123
2021-07-15,0097.KL,0.10214475018835456,,ViTrox,No,Yes,0.4320545161161123
2021-07-16,0097.KL,0.10214475018835456,,ViTrox,No,Yes,0.4320545161161123
2021-07-19,0097.KL,0.15186549614355815,,ViTrox,No,Yes,0.4320545161161123
2021-07-21,0097.KL,0.15739016455318744,,ViTrox,No,Yes,0.4320545161161123
2021-07-22,0097.KL,0.21401671260644184,,ViTrox,No,Yes,0.4320545161161123
2021-07-23,0097.KL,0.34108101194122287,,ViTrox,No,Yes,0.4320545161161123
2021-07-26,0097.KL,0.33417527667114344,,ViTrox,No,Yes,0.4320545161161123
2021-07-27,0097.KL,0.30931487027955606,,ViTrox,No,Yes,0.4320545161161123
2021-07-28,0097.KL,0.281691929199239,,ViTrox,No,Yes,0.4320545161161123
2021-07-29,0097.KL,0.3051714023863199,,ViTrox,No,Yes,0.4320545161161123
2021-07-30,0097.KL,0.3051714023863199,,ViTrox,No,Yes,0.4320545161161123
2021-08-02,0097.KL,0.3548923488254383,,ViTrox,No,Yes,0.4320545161161123
2021-08-03,0097.KL,0.3797526215610829,,ViTrox,No,Yes,0.4320545161161123
2021-08-04,0097.KL,0.3466054130389662,,ViTrox,No,Yes,0.4320545161161123
2021-08-05,0097.KL,0.3645602178164171,,ViTrox,No,Yes,0.4320545161161123
2021-08-06,0097.KL,0.35765448254633836,,ViTrox,No,Yes,0.4320545161161123
2021-08-09,0097.KL,0.3700847525701032,,ViTrox,No,Yes,0.4320545161161123
2021-08-11,0097.KL,0.3700847525701032,,ViTrox,No,Yes,0.4320545161161123
2021-08-12,0097.KL,0.30793380341910614,,ViTrox,No,Yes,0.4320545161161123
2021-08-13,0097.KL,0.32588860819655774,,ViTrox,No,Yes,0.4320545161161123
2021-08-16,0097.KL,0.3106960707959492,,ViTrox,No,Yes,0.4320545161161123
2021-08-17,0097.KL,0.3742279531514534,,ViTrox,No,Yes,0.4320545161161123
2021-08-18,0097.KL,0.3466054130389662,,ViTrox,No,Yes,0.4320545161161123
2021-08-19,0097.KL,0.3010279344930835,,ViTrox,No,Yes,0.4320545161161123
2021-08-20,0097.KL,0.3120772713123423,,ViTrox,No,Yes,0.4320545161161123
2021-08-23,0097.KL,0.3245074076801646,,ViTrox,No,Yes,0.4320545161161123
2021-08-24,0097.KL,0.3245074076801646,,ViTrox,No,Yes,0.4320545161161123
2021-08-25,0097.KL,0.3189828729264783,,ViTrox,No,Yes,0.4320545161161123
2021-08-26,0097.KL,0.3120772713123423,,ViTrox,No,Yes,0.4320545161161123
2021-08-27,0097.KL,0.28445433023202504,,ViTrox,No,Yes,0.4320545161161123
2021-08-30,0097.KL,0.29412233287894773,,ViTrox,No,Yes,0.4320545161161123
2021-09-01,0097.KL,0.28445433023202504,,ViTrox,No,Yes,0.4320545161161123
2021-09-02,0097.KL,0.28307339702751855,,ViTrox,No,Yes,0.4320545161161123
2021-09-03,0097.KL,0.28307339702751855,,ViTrox,No,Yes,0.4320545161161123
2021-09-06,0097.KL,0.3120772713123423,,ViTrox,No,Yes,0.4320545161161123
2021-09-07,0097.KL,0.2968846002557908,,ViTrox,No,Yes,0.4320545161161123
2021-09-08,0097.KL,0.2996468676326338,,ViTrox,No,Yes,0.4320545161161123
2021-09-09,0097.KL,0.29550353339534086,,ViTrox,No,Yes,0.4320545161161123
2021-09-10,0097.KL,0.3286508755734008,,ViTrox,No,Yes,0.4320545161161123
2021-09-13,0097.KL,0.3051714023863199,,ViTrox,No,Yes,0.4320545161161123
2021-09-14,0097.KL,0.3120772713123423,,ViTrox,No,Yes,0.4320545161161123
2021-09-15,0097.KL,0.29412233287894773,,ViTrox,No,Yes,0.4320545161161123
2021-09-17,0097.KL,0.3189828729264783,,ViTrox,No,Yes,0.4320545161161123
2021-09-20,0097.KL,0.3120772713123423,,ViTrox,No,Yes,0.4320545161161123
2021-09-21,0097.KL,0.3769904878401831,,ViTrox,No,Yes,0.4320545161161123
2021-09-22,0097.KL,0.3797526215610829,,ViTrox,No,Yes,0.4320545161161123
2021-09-23,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-09-24,0097.KL,0.4156619638040995,,ViTrox,No,Yes,0.4320545161161123
2021-09-27,0097.KL,0.43776050378667364,,ViTrox,No,Yes,0.4320545161161123
2021-09-28,0097.KL,0.4225676990741787,,ViTrox,No,Yes,0.4320545161161123
2021-09-29,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-09-30,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-10-01,0097.KL,0.3769904878401831,,ViTrox,No,Yes,0.4320545161161123
2021-10-04,0097.KL,0.385277156314769,,ViTrox,No,Yes,0.4320545161161123
2021-10-05,0097.KL,0.342462212457616,,ViTrox,No,Yes,0.4320545161161123
2021-10-06,0097.KL,0.34798674721130207,,ViTrox,No,Yes,0.4320545161161123
2021-10-07,0097.KL,0.3548923488254383,,ViTrox,No,Yes,0.4320545161161123
2021-10-08,0097.KL,0.34798674721130207,,ViTrox,No,Yes,0.4320545161161123
2021-10-11,0097.KL,0.3438432793180659,,ViTrox,No,Yes,0.4320545161161123
2021-10-12,0097.KL,0.3535112819649884,,ViTrox,No,Yes,0.4320545161161123
2021-10-13,0097.KL,0.3466054130389662,,ViTrox,No,Yes,0.4320545161161123
2021-10-14,0097.KL,0.35765448254633836,,ViTrox,No,Yes,0.4320545161161123
2021-10-15,0097.KL,0.3548923488254383,,ViTrox,No,Yes,0.4320545161161123
2021-10-18,0097.KL,0.3659412846768677,,ViTrox,No,Yes,0.4320545161161123
2021-10-20,0097.KL,0.36732248519326016,,ViTrox,No,Yes,0.4320545161161123
2021-10-21,0097.KL,0.39632609216619796,,ViTrox,No,Yes,0.4320545161161123
2021-10-22,0097.KL,0.3604170172350676,,ViTrox,No,Yes,0.4320545161161123
2021-10-25,0097.KL,0.33969967776888677,,ViTrox,No,Yes,0.4320545161161123
2021-10-26,0097.KL,0.3521299477926523,,ViTrox,No,Yes,0.4320545161161123
2021-10-27,0097.KL,0.35903554940678806,,ViTrox,No,Yes,0.4320545161161123
2021-10-28,0097.KL,0.3604170172350676,,ViTrox,No,Yes,0.4320545161161123
2021-10-29,0097.KL,0.35903554940678806,,ViTrox,No,Yes,0.4320545161161123
2021-11-01,0097.KL,0.3369376777039299,,ViTrox,No,Yes,0.4320545161161123
2021-11-02,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-11-03,0097.KL,0.34936768041580923,,ViTrox,No,Yes,0.4320545161161123
2021-11-05,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-11-08,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-11-09,0097.KL,0.3866583568311619,,ViTrox,No,Yes,0.4320545161161123
2021-11-10,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-11-11,0097.KL,0.3797526215610829,,ViTrox,No,Yes,0.4320545161161123
2021-11-12,0097.KL,0.38389595579837565,,ViTrox,No,Yes,0.4320545161161123
2021-11-15,0097.KL,0.3769904878401831,,ViTrox,No,Yes,0.4320545161161123
2021-11-16,0097.KL,0.3783715547006328,,ViTrox,No,Yes,0.4320545161161123
2021-11-17,0097.KL,0.3631790173000242,,ViTrox,No,Yes,0.4320545161161123
2021-11-18,0097.KL,0.36732248519326016,,ViTrox,No,Yes,0.4320545161161123
2021-11-19,0097.KL,0.36732248519326016,,ViTrox,No,Yes,0.4320545161161123
2021-11-22,0097.KL,0.394945292617634,,ViTrox,No,Yes,0.4320545161161123
2021-11-23,0097.KL,0.3990884931989842,,ViTrox,No,Yes,0.4320545161161123
2021-11-24,0097.KL,0.43776050378667364,,ViTrox,No,Yes,0.4320545161161123
2021-11-25,0097.KL,0.4363790359583939,,ViTrox,No,Yes,0.4320545161161123
2021-11-26,0097.KL,0.4156619638040995,,ViTrox,No,Yes,0.4320545161161123
2021-11-29,0097.KL,0.43361690223749405,,ViTrox,No,Yes,0.4320545161161123
2021-11-30,0097.KL,0.4156619638040995,,ViTrox,No,Yes,0.4320545161161123
2021-12-01,0097.KL,0.530295993115115,,ViTrox,No,Yes,0.4320545161161123
2021-12-02,0097.KL,0.5247715920173723,,ViTrox,No,Yes,0.4320545161161123
2021-12-06,0097.KL,0.4501906401544955,,ViTrox,No,Yes,0.4320545161161123
2021-12-07,0097.KL,0.476432113406533,,ViTrox,No,Yes,0.4320545161161123
2021-12-08,0097.KL,0.43914143699118013,,ViTrox,No,Yes,0.4320545161161123
2021-12-09,0097.KL,0.40185049326394084,,ViTrox,No,Yes,0.4320545161161123
2021-12-10,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-12-13,0097.KL,0.3811338220774758,,ViTrox,No,Yes,0.4320545161161123
2021-12-14,0097.KL,0.3687036857096535,,ViTrox,No,Yes,0.4320545161161123
